Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol;T_37.8°C;T_93.3°C;T_148.9°C;T_204.4°C;T_260.0°C;T_315.6°C;T_343.3°C;T_371.1°C;T_398.9°C;T_426.7°C;T_454.4°C;T_482.2°C;T_510.0°C;T_537.8°C;T_565.6°C;T_593.3°C;T_621.1°C;T_648.9°C;T_676.7°C;T_704.4°C;T_732.2°C;T_760.0°C;T_787.8°C;T_815.6°C
101;EFW-PIPE SB673 N08904 (E=0.85)-ASME SECT.II P;ART D-1998;2;1;104.32;97.87;88.49;80.88;74.43;70.33;68.57;66.81;;;;;;;;;;;;;;;;
102;EFW-PIPE ASTM B337 Gr.2  (E= 0.85)          B;31.3 -2002;2;1;97.87;97.87;72.08;57.43;46.88;42.78;;;;;;;;;;;;;;;;;;
103;"SMLS-PIPE ASTM B729 UNS N08020 (OD>5"")";B31.3-2002;2;1;160.65;137.9;136.52;133.76;133.07;133.07;132.38;132.38;132.38;131.69;;;;;;;;;;;;;;
104;WELDED PIPE-ASTM B464 UNS N08020 (E=0.80);B31.3-2002;2;1;128.52;110.32;109.21;107.01;106.46;106.46;105.9;105.9;105.9;105.35;;;;;;;;;;;;;;
105;SMLS-PIPE ASTM B622 UNS N10276;B31.3-2002;2;4;188.23;188.23;188.23;188.23;185.47;175.13;170.3;165.47;162.03;158.58;155.82;153.75;152.37;150.31;127.55;103.42;84.12;67.57;53.78;;;;;
106;EFW-PIPE ASTM B619 UNS N10276  (E=0.85);B31.3-2002;2;1;159.99;159.99;159.99;159.99;157.65;148.86;144.76;140.65;137.72;134.79;132.45;130.69;129.52;127.76;108.42;87.91;71.5;57.43;45.71;;;;;
107;SMLS-PIPE ASTM A790 UNS S31803;B31.3-2002;2;1;206.84;206.84;199.26;192.36;187.54;185.47;;;;;;;;;;;;;;;;;;
108;EFW-ASTM A790 UNS S31803  (E=0.85);B31.3-2002;2;1;175.82;175.82;169.37;163.51;159.41;157.65;;;;;;;;;;;;;;;;;;
109;SMLS-PIPE SA-335 GR.P22 ASME SECT.II PART D -;1998;1;1;103.42;103.42;103.42;103.42;103.42;103.42;103.42;103.42;103.42;103.42;99.28;93.77;74.46;55.16;39.3;26.2;16.55;9.65;;;;;;
110;"SMLS-ASTM A312 TP321 (THK.>3/8"")";B31.3-2002;2;1;115.14;115.14;115.14;115.14;111.01;104.8;102.73;100.66;98.6;97.22;96.53;95.15;93.77;93.08;66.19;47.57;34.47;24.82;17.93;11.72;7.58;5.52;3.45;2.07
111;"SMLS-ASTM A312 TP321+GA-E(THK.<=3/8""-T>1000F)";B31.3-2002;2;1;137.9;137.9;137.9;137.9;133.07;126.17;123.42;120.66;118.59;116.52;115.14;114.45;113.07;111.7;80.67;62.74;47.57;37.23;28.27;22.06;17.24;13.1;10.34;7.58
112;"SMLS-ASTM A312 TP321+GA-E(THK.>3/8""-T>1000F)";B31.3-2002;2;1;115.14;115.14;115.14;115.14;111.01;104.8;102.73;100.66;98.6;97.22;96.53;95.15;93.77;93.08;80.67;62.74;47.57;37.23;28.27;22.06;17.24;13.1;10.34;7.58
113;"SMLS-ASTM A312 TP321H (THK.>3/8"")";B31.3-2002;2;1;115.14;115.14;115.14;115.14;111.01;104.8;102.73;100.66;98.6;97.22;96.53;95.15;93.77;93.08;80.67;62.74;47.57;37.23;28.27;22.06;17.24;13.1;10.34;7.58
114;EFW-ASTM A358 GR321 CL1/3/4+GA-E(E=1-T>1000F);B31.3-2002;2;5;137.9;137.9;137.9;137.9;133.07;126.17;123.42;120.66;118.59;116.52;115.14;114.45;113.07;111.7;80.67;62.74;47.57;37.23;28.27;22.06;17.24;13.1;10.34;7.58
115;"SMLS-PIPE ASTM B729 UNS N08020 (OD<5"")";B31.3-2002;2;4;160.65;137.9;136.52;133.76;133.07;133.07;132.38;132.38;132.38;131.69;;;;;;;;;;;;;;
116;SMLS-PIPE SB-423 N08825 ASME SECT.II PART.D-D;IV.1 -1998;2;1;146.17;146.17;140.65;132.38;126.17;122.73;121.35;119.28;118.59;117.9;116.52;115.83;115.14;114.45;;;;;;;;;;
117;WLDD PIPE-SB423 N08825(E=1)ASME SECT.II-P.D-D;IV.1-1998;2;5;146.17;146.17;140.65;132.38;126.17;122.73;121.35;119.28;118.59;117.9;116.52;115.83;115.14;114.45;;;;;;;;;;
