Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol;TempF;AllowPsi
5;SMLS-ASTM A333 Gr.1;B31.3-2004;1;1;650;14500
5;SMLS-ASTM A333 Gr.1;B31.3-2004;1;1;700;14400
5;SMLS-ASTM A333 Gr.1;B31.3-2004;1;1;750;12000
5;SMLS-ASTM A333 Gr.1;B31.3-2004;1;1;800;10200
5;SMLS-ASTM A333 Gr.1;B31.3-2004;1;1;850;8300
5;SMLS-ASTM A333 Gr.1;B31.3-2004;1;1;900;6500
5;SMLS-ASTM A333 Gr.1;B31.3-2004;1;1;950;4500
5;SMLS-ASTM A333 Gr.1;B31.3-2004;1;1;1000;2500
5;SMLS-ASTM A333 Gr.1;B31.3-2004;1;1;1050;1600
5;SMLS-ASTM A333 Gr.1;B31.3-2004;1;1;1100;1000
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;100;20000
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;200;20000
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;300;20000
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;400;20000
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;500;18900
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;600;17300
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;650;17000
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;700;16500
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;750;13000
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;800;10800
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;850;8700
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;900;6500
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;950;4500
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;1000;2500
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;1050;1600
6;SMLS-ASTM A333 Gr.6;B31.3-2004;1;1;1100;1000
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;100;20000
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;200;20000
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;300;20000
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;400;20000
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;500;18900
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;600;17300
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;650;17000
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;700;16500
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;750;13000
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;800;10800
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;850;8700
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;900;6500
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;950;4500
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;1000;2500
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;1050;1600
7;SMLS-API 5L  Gr.B;B31.3-2004;1;1;1100;1000
8;SMLS-API 5L  Gr.X42;B31.3-2002;1;2;100;20000
8;SMLS-API 5L  Gr.X42;B31.3-2002;1;2;200;20000
8;SMLS-API 5L  Gr.X42;B31.3-2002;1;2;300;20000
8;SMLS-API 5L  Gr.X42;B31.3-2002;1;2;400;20000
