Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol
76;SMLS-ASTM A312 TP316H;B31.3-2002;2;1
77;SMLS-ASTM A312 TP316L;B31.3-2002;2;1
78;"SMLS-ASTM A312 TP321(THK.<=3/8"")";B31.3-2002;2;1
79;"SMLS-ASTM A312 TP321H (THK.<=3/8"")";B31.3-2002;2;1
80;SMLS-ASTM A312 TP347;B31.3-2002;2;1
81;SMLS-ASTM A312 TP347H;B31.3-2002;2;1
82;EFW -ASTM A312 TP304  (E=0.8);B31.3-2002;2;1
83;EFW -ASTM A312 TP304L (E=0.8);B31.3-2002;2;1
84;EFW -ASTM A358 Gr.304  Cl.2 (E=0.85);B31.3-2002;2;5
85;EFW -ASTM A358 Gr.316  Cl.2 (E=0.85);B31.3-2002;2;5
86;EFW -ASTM A358 Gr.304  Cl.5 (E=0.9);B31.3-2002;2;5
87;EFW -ASTM A358 Gr.304L Cl.5 (E=0.9);B31.3-2002;2;5
88;EFW -ASTM A358 Gr.316  Cl.5 (E=0.9);B31.3-2002;2;5
89;EFW -ASTM A358 Gr.316L Cl.5 (E=0.9);B31.3-2002;2;5
90;EFW -ASTM A358 Gr.321  Cl.5 (E=0.9);B31.3-2002;2;5
91;EFW -ASTM A358 Gr.304  Cl.1/3/4 (E=1);B31.3-2002;2;5
92;EFW -ASTM A358 Gr.304L Cl.1/3/4 (E=1);B31.3-2002;2;5
93;EFW -ASTM A358 Gr.316  Cl.1/3/4 (E=1);B31.3-2002;2;5
94;EFW -ASTM A358 Gr.316L Cl.1/3/4 (E=1);B31.3-2002;2;5
95;EFW -ASTM A358 GR.321  CL.1/3/4 (E=1);B31.3-2002;2;5
96;"SMLS-ASTM B165 Gr.400 (N04400)Ann.(>5"" O.D.)";B31.3-2002;2;1
97;"SMLS-ASTM B167 Gr.600 (N06600)H.F.(< 5"" O.D.)";B31.3-2002;2;1
98;"SMLS-ASTM B167 Gr.600 (N06600)H.F.(>5"" O.D.)";B31.3-2002;2;1
99;SMLS-ASTM B407 Gr.800 (N08800) H.F.;B31.3-2002;2;1
100;SMLS-PIPE SB-677 N08904 ASME SECT.II-PART D -;1998;2;1
101;EFW-PIPE SB673 N08904 (E=0.85)-ASME SECT.II P;ART D-1998;2;1
102;EFW-PIPE ASTM B337 Gr.2  (E= 0.85)          B;31.3 -2002;2;1
103;"SMLS-PIPE ASTM B729 UNS N08020 (OD>5"")";B31.3-2002;2;1
104;WELDED PIPE-ASTM B464 UNS N08020 (E=0.80);B31.3-2002;2;1
105;SMLS-PIPE ASTM B622 UNS N10276;B31.3-2002;2;4
106;EFW-PIPE ASTM B619 UNS N10276  (E=0.85);B31.3-2002;2;1
