TempF;TempC
100;37,78
122;50,00
200;93,33
212;100,00
300;148,89
302;150,00
392;200,00
400;204,44
482;250,00
500;260,00
572;300,00
600;315,56
650;343,33
662;350,00
700;371,11
750;398,89
752;400,00
800;426,67
842;450,00
850;454,44
900;482,22
932;500,00
950;510,00
1000;537,78
1050;565,56
1100;593,33
1150;621,11
1200;648,89
1250;676,67
1300;704,44
1350;732,22
1400;760,00
1450;787,78
1500;815,56
