id;TempF;R_150;R_300;R_400;R_600;R_900;R_1500;R_2500;R_4500
42;700;195;510;680;1020;1525;2545;4240;7635
42;750;190;500;670;1000;1505;2505;4175;7515
42;800;185;490;650;975;1465;2440;4065;7315
42;850;180;475;635;950;1425;2380;3965;7135
42;900;180;465;620;930;1400;2330;3885;6990
42;950;175;455;605;910;1365;2270;3785;6815
42;1000;160;420;560;840;1260;2105;3505;6310
42;1050;160;420;560;840;1260;2100;3500;6300
42;1100;125;325;435;650;975;1630;2715;4885
42;1150;90;235;315;470;705;1180;1965;3535
42;1200;65;170;230;345;515;855;1430;2570
42;1250;50;130;170;255;385;645;1070;1930
42;1300;35;95;125;190;285;470;785;1415
42;1350;30;75;95;145;220;365;605;1095
42;1400;20;55;75;110;165;280;465;835
42;1450;15;40;55;85;125;210;345;625
42;1500;10;30;45;65;95;160;270;480
43;100;290;750;1000;1500;2250;3750;6250;11250
43;200;260;720;960;1440;2160;3600;6000;10800
43;300;230;715;950;1425;2140;3565;5940;10690
43;400;200;675;900;1345;2020;3365;5610;10100
43;500;170;655;875;1310;1965;3275;5460;9830
43;600;140;605;805;1210;1815;3025;5040;9070
43;650;125;590;785;1175;1765;2940;4905;8825
43;700;110;570;755;1135;1705;2840;4730;8515
43;750;95;530;710;1065;1595;2660;4430;7970
43;800;80;510;675;1015;1525;2540;4230;7610
44;100;290;750;1000;1500;2250;3750;6250;11250
44;200;290;750;1000;1500;2250;3750;6250;11250
44;300;290;750;1000;1500;2250;3750;6250;11250
44;400;290;750;1000;1500;2250;3750;6250;11250
44;500;280;730;975;1465;2195;3655;6095;10970
44;600;270;705;940;1405;2110;3515;5860;10545
44;650;270;700;930;1400;2095;3495;5825;10485
44;700;265;695;925;1390;2085;3475;5790;10425
44;750;260;685;910;1365;2050;3415;5690;10245
44;800;260;675;900;1350;2025;3375;5625;10125
45;100;140;360;480;720;1080;1800;3000;5400
45;200;140;360;480;720;1080;1800;3000;5400
45;300;140;360;480;720;1080;1800;3000;5400
