TempF;TempC
100;37,78
122;50,0
200;93,33
212;100,0
300;148,89
311;155,0
392;200,0
400;204,44
482;250,0
500;260,0
572;300,0
600;315,56
650;343,33
662;350,0
700;371,11
750;398,89
752;400,0
800;426,67
842;450,0
850;454,44
900;482,22
932;500,0
950;510,0
1000;537,78
1050;565,56
1100;593,33
1150;621,11
1200;648,89
1250;676,67
1300;704,44
1350;732,22
1400;760,0
1450;787,78
1500;815,56
